SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
391,IsoMonCANCommsFailed,CPE250 (legacy),Critical,Isolation Monitor CAN communication failed. Station can't verify DC cable/system isolation — safety hazard.,Power cycle. Check CAN cable to IsoMon. Replace IsoMon module if persists.,,
392,Relay1OpenCheckFailed,CPE250 (legacy),Critical,Relay 1 (main DC contactor) failed the open check — relay should be open but voltage detected across it. Relay may be welded shut.,"Power cycle. If persists, replace contactor 1. Check for arc damage.",,
393,Relay1CloseCheckFailed,CPE250 (legacy),Critical,Relay 1 failed the close check — relay should be closed but no current path detected. Relay may be stuck open or coil failed.,Power cycle. Replace contactor 1 if persists.,,
394,Relay1NotClosedCheckFailed,CPE250 (legacy),Critical,Relay 1 not-closed check failed — auxiliary contacts don't confirm relay position. Contactor feedback mismatch.,Check auxiliary contact wiring. Replace contactor 1 if persists.,,
395,Relay2OpenCheckFailed,CPE250 (legacy),Critical,Relay 2 failed open check — may be welded shut.,Power cycle. Replace contactor 2.,,
396,Relay2CloseCheckFailed,CPE250 (legacy),Critical,Relay 2 failed close check — stuck open or coil failed.,Power cycle. Replace contactor 2.,,
397,Relay2NotClosedCheckFailed,CPE250 (legacy),Critical,Relay 2 auxiliary contact feedback mismatch.,Check wiring. Replace contactor 2.,,
398,Relay3OpenCheckFailed,CPE250 (legacy),Critical,Relay 3 (precharge contactor) failed open check — may be welded.,Power cycle. Replace contactor 3.,,
399,Relay3CloseCheckFailed,CPE250 (legacy),Critical,Relay 3 failed close check — stuck open or coil failed.,Power cycle. Replace contactor 3.,,
400,Relay3NotClosedCheckFailed,CPE250 (legacy),Critical,Relay 3 auxiliary contact feedback mismatch.,Check wiring. Replace contactor 3.,,
401,RelaysOpenAllCheckFailed,CPE250 (legacy),Critical,All relays failed the open check simultaneously. Multiple contactors may be welded or control circuit has failed. Severe safety issue.,Do not attempt to charge. Power cycle. Inspect all contactors for welding/arc damage. Replace contactors and DCC if needed. Escalate to engineering.,,
402,SystemVoltageCheckFailed,CPE250 (legacy),Critical,System voltage check failed during self-test. Internal voltage rails are out of specification.,Power cycle. Check DCC power supply. Replace DCC if persists.,,
403,RISOStateCheckFailed,CPE250 (legacy),Critical,RISO (insulation resistance) state check failed. Station can't verify isolation between DC output and ground. Safety hazard.,Power cycle. Check IsoMon module. Check DC cables for insulation damage. Replace IsoMon if persists.,,
404,IsoMonStatusStabilityCheckFailed,CPE250 (legacy),Critical,Isolation Monitor status is not stable — readings are fluctuating. Can't reliably confirm insulation integrity.,Power cycle. Check IsoMon CAN cable. Replace IsoMon if persists.,,
405,CoolCtrlCANCommsFailed,CPE250 (legacy),Critical,Cooling Controller CAN communication failed. Station can't manage cooling.,Check CAN cable to cooling controller. Power cycle. Replace CCB if persists. Maps to ccb:can-comms-error.,,
406,CantReadPMCCConfig,CPE250 (legacy),Major,Can't read Power Module Carrier Config. DCC unable to read configuration from power module carrier EEPROM.,Power cycle. Reseat power module carrier. Replace carrier or DCC if persists.,,
407,FanSpeed25FanOffCheckFailed,CPE250 (legacy),Major,Fan speed self-test at 25% — fan-off check failed. Fan should be off but tachometer still shows RPM.,Check fan control circuit. Replace fan or CCB if persists.,,
408,FanSpeed25FanSpeedMismatch,CPE250 (legacy),Major,Fan speed at 25% command doesn't match expected RPM. Fan is running too fast or too slow.,Check fan for obstructions. Replace fan if motor is degrading.,,
409,FanSpeed25ReadFaultRegisterFailed,CPE250 (legacy),Major,Failed to read fan fault register during 25% speed test. CAN communication issue with fan controller.,Check CAN cabling. Power cycle. Replace CCB if persists.,,
410,FanSpeed100FanOffCheckFailed,CPE250 (legacy),Major,Fan speed self-test at 100% — fan-off check failed.,Check fan control circuit. Replace fan or CCB.,,
411,FanSpeed100FanSpeedMismatch,CPE250 (legacy),Major,Fan speed at 100% command doesn't match expected RPM.,Check fan. Replace if motor degrading.,,
412,FaSpeed100ReadFaultRegisterFailed,CPE250 (legacy),Major,Failed to read fan fault register during 100% speed test. (Note: typo in fault name is original.),Check CAN cabling. Power cycle. Replace CCB.,,
413,StationIOCANCommsFailed,CPE250 (legacy),Critical,"Station I/O board CAN communication failed. Can't control or monitor station I/O (door, locks, LEDs).",Check CAN cable to I/O board. Power cycle. Replace I/O board if persists.,,
414,SmartPwrCANCommsFailed,CPE250 (legacy),Critical,Smart Power CAN communication failed. Power management system is offline.,Check CAN cable to Smart Power module. Power cycle. Replace module if persists.,,
415,NotAllOutputChannelsTurnedOn,CPE250 (legacy),Major,Not all power module output channels turned on during startup. Some modules may be in fault or not responding.,Power cycle. Check power module status. Replace faulted modules.,,
416,FanSpeedMismatch,CPE250 (legacy),Major,General fan speed mismatch — actual RPM doesn't match commanded speed.,Check fans for obstructions. Replace fan assembly.,,
417,CANRegisterAccessFailed,CPE250 (legacy),Major,Failed to access a CAN register on one of the subsystems. Communication or hardware failure.,Power cycle. Check CAN cabling. Replace the affected module.,,
418,NoPowerModulesDetected,CPE250 (legacy),Critical,No DC power modules detected by the DCC. Station can't charge at all.,Check power module seating. Check CAN bus. Power cycle. Replace DCC if modules are physically present but not detected.,,
419,NotAllPowerModulesActiveAvailable,CPE250 (legacy),Major,Some power modules are not active — station will charge at reduced power.,Check which modules are faulted (via DCC logs). Replace faulted modules.,,
420,VoltageOver50VOnPMOutputInStandalone,CPE250 (legacy),Critical,Voltage over 50V detected on power module output when it should be in standalone/off mode. Safety hazard — unexpected DC voltage present.,Do not touch DC components. Power cycle. Replace faulted power module. Check contactors.,,
421,UnexpectedVoltageOnBothPMsInputBus,CPE250 (legacy),Critical,Unexpected voltage on both power modules' input bus. Station detecting voltage where there shouldn't be any.,Check AC input. Power cycle. Investigate wiring. Replace DCC/power modules if persists.,,
422,ChargeControlCANBusDown,CPE250 (legacy),Critical,Charge control CAN bus is completely down. All CAN communication for charging control has failed.,Check CAN bus wiring and termination (120Ω). Power cycle. Replace DCC if bus is physically OK but still down.,,
423,McuFirmwareUpdateFailed,CPE250 (legacy),Major,MCU (Microcontroller Unit) firmware update failed on DCC or subsystem.,Retry firmware update. Power cycle. Escalate if persists.,,
424,dcc:eeprom-read-error,"CPE250, CPE280",Major,DCC EEPROM read error. Configuration or calibration data couldn't be read from non-volatile memory.,"Power cycle. If persists, EEPROM may be corrupted — replace DCC.",,
425,dcc:data-partition-full,"CPE250, CPE280",Critical,"DCC data partition is full. Logs, session data, or firmware updates will fail.",Clear logs/old data. Reboot. Manual cleanup via shell if needed.,,
426,dcc:tmp-partition-full,"CPE250, CPE280",Major,DCC temporary partition is full. Firmware updates and temp file operations will fail.,Reboot to clear temp files. Manual cleanup if persists.,,
427,dcd:voltage-rail-48v-fail,"CP6000, EXPP",Critical,48V voltage rail in the dispenser has failed. Dispenser electronics have no power.,Check AuxPS 48V output. Check wiring to dispenser. Replace DCD board if persists.,,
428,dcd:voltage-rail-32v-fail,"CP6000, EXPP",Critical,32V voltage rail has failed. Motor drive or secondary electronics have no power.,Check power supply. Replace DCD board if persists.,,
429,dcd:led-fail,"CP6000, EXPP",Minor,LED indicator has failed. Visual status indicator on dispenser not working.,Replace LED module. Non-critical — station still charges.,,
430,dcd:motor-or-driver-failure,"CP6000, EXPP",Major,Cable retractor motor or motor driver circuit has failed. Cable can't be retracted/extended automatically.,Check motor wiring. Replace motor or DCD board if persists.,,
431,dcd:motor-failure,"CP6000, EXPP",Major,Cable retractor motor has failed completely.,Replace motor.,,
432,dcd:mechanism-jam,"CP6000, EXPP",Major,Cable retractor mechanism is jammed. Motor is trying to move but mechanism is stuck.,"Check for physical obstructions (cable tangled, debris). Free mechanism. Replace if hardware is damaged.",,
433,dcpm:comms-error,"CPE250, CPE280",Critical,DC Power Meter lost CAN communication with station controller. DC energy measurement is offline.,Check CAN cabling to DCPM. Power cycle. Replace DCPM if persists.,,
434,dcpm:firmware-update-error,"CPE250, CPE280",Major,DCPM firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
435,dispauxps:cablectrl-pwr-supply-failure,CP6000,Critical,Dispenser AuxPS power supply to cable controller has failed. Cable controller has no power — can't charge.,Check dispenser AuxPS. Replace dispenser AuxPS module if persists.,,
436,dispauxps:dispctrl-pwr-supply-failure,CP6000,Critical,Dispenser AuxPS power supply to dispenser controller has failed. Entire dispenser is offline.,Check dispenser AuxPS. Replace module if persists.,,
437,dispauxps:safety-cablectrl-pilot-error,CP6000,Critical,Safety circuit detected pilot signal error in the cable controller via dispenser AuxPS. Control pilot integrity compromised.,Power cycle. Check pilot circuit wiring. Replace cable controller or dispenser AuxPS if persists.,,
438,dispauxps:thermal-switch1-error,CP6000,Major,Thermal switch 1 in dispenser has tripped or failed. Overheating in dispenser compartment 1.,Check dispenser ventilation. Inspect thermal switch. Replace if failed.,,
439,dispauxps:thermal-switch2-error,CP6000,Major,Thermal switch 2 tripped or failed.,Check ventilation. Inspect switch. Replace if failed.,,
440,dispauxps:thermal-switch3-error,CP6000,Major,Thermal switch 3 tripped or failed.,Check ventilation. Inspect switch. Replace if failed.,,
441,dispctrl:comms-error,CP6000,Critical,Dispenser controller lost communication with cabinet/Falcon. Dispenser is offline.,Check Ethernet/CAN cable between dispenser and cabinet. Power cycle. Replace dispenser controller if persists.,,
442,dispctrl:firmware-update-error,CP6000,Major,Dispenser controller firmware update failed.,Retry update. Power cycle. Escalate if persists.,,
443,dispctrl:dispauxps-undervoltage-warning,CP6000,Minor,Dispenser AuxPS voltage is below warning threshold. Power supply may be degrading.,Monitor. Check AuxPS input power. Replace dispenser AuxPS if voltage drops further.,,
444,dispctrl:dispauxps-overvoltage-warning,CP6000,Minor,Dispenser AuxPS voltage is above warning threshold. Regulation issue.,Monitor. Replace dispenser AuxPS if persists.,,
445,dispctrl:tilt-warning,CP6000,Minor,Dispenser tilt sensor detected minor tilt. Dispenser may have been bumped or ground is shifting.,Inspect dispenser mounting. Check if bollard is leaning.,,
446,dispctrl:tilt-exceeded,CP6000,Critical,Dispenser tilt exceeded safe threshold. Dispenser has been hit or knocked significantly. Potential structural damage.,Inspect immediately. Check mounting bolts. Check for vehicle impact damage. Station may need to be taken offline for inspection.,,
447,dispctrl:board-overtemp-warning,CP6000,Minor,Dispenser controller board temp above warning.,Monitor. Check ventilation.,,
448,dispctrl:board-overtemp-shutdown,CP6000,Critical,Dispenser controller board exceeded critical temp — shut down.,Check ventilation. Power cycle. Replace dispenser controller if persists.,,
449,dispctrl:dispenser-helmet-removed,CP6000,Major,Dispenser helmet (top cover) has been removed or is not properly seated. Station detects open enclosure.,Reseat helmet. Check tamper switch. Replace helmet if damaged.,,
450,dispctrl:data-partition-full,CP6000,Critical,Dispenser controller data partition full.,Clear logs. Reboot. Manual cleanup via shell if needed.,,
451,dispctrl:tmp-partition-full,CP6000,Major,Dispenser controller temp partition full.,Reboot to clear temp files.,,
452,PowerSystemFailed,CPE250 (legacy),Critical,Entire power system has failed. Station cannot produce DC power.,Power cycle. Check AC input. Check power modules. Replace DCC or power modules as needed.,,
453,PairOffline,CPE250 (legacy),Major,Paired station (in power-share config) is offline. Power sharing is suspended — this station operates independently.,Check paired station power and network. Fix paired station.,,
454,ChargeMeterFailed,CPE250 (legacy),Major,Charge meter (energy measurement) has failed. Billing accuracy affected.,Power cycle. Replace DCPM/ACPM meter if persists.,,
455,SystemSelfTestFailed,CPE250 (legacy),Critical,System self-test failed during startup. One or more subsystems didn't pass diagnostics.,Power cycle a few times. Check DCC logs to identify which subsystem failed. Replace faulted component.,,
456,ACInputPhaseMissing,CPE250 (legacy),Critical,One or more AC input phases missing. Station not receiving all required phases.,Check AC breakers. Verify all phases at station input terminals. Contact site electrician.,,
457,CoolingSystemFailed,CPE250 (legacy),Critical,"Entire cooling system has failed — no fans, no pump, or both. Station will overheat.","Check fans, pump, coolant level. Power cycle. Replace cooling components as needed.",,
458,CableSafetyCheckFailed,CPE250 (legacy),Critical,Cable safety check failed — pre-charge cable integrity test didn't pass. Safety hazard.,Inspect cable for damage. Megger test. Replace cable if insulation compromised.,,
459,CANBusCommsFailed,CPE250 (legacy),Critical,CAN bus communication has failed for one or more subsystems.,Check CAN cabling and termination (120Ω). Power cycle. Replace DCC if bus wiring is OK.,,
460,CANBusDown,CPE250 (legacy),Critical,CAN bus is completely down — all CAN communication lost. No subsystem can report status.,"Check CAN bus wiring, connectors, and termination resistors. Power cycle. Replace DCC if persists.",,
461,CableRelayWelded,CPE250 (legacy),Critical,DC contactor/relay is welded shut. Contacts fused together — relay can't open. Safety hazard.,Do not attempt to charge. Power cycle. Replace welded contactor. Inspect for arc damage.,,
462,CabinetPanelOpen,CPE250 (legacy),Major,Cabinet panel/door is open. Tamper switch detected open enclosure. Station may stop charging for safety.,Close and secure cabinet panel. Check door latch and tamper switch.,,
463,DispenserCabinetDamaged,CPE250 (legacy),Major,Dispenser cabinet physical damage detected (via tilt or tamper sensor).,Inspect for vehicle impact damage. Check mounting. Take offline if structurally compromised.,,
464,InputACTerminalsOverheated,CPE250 (legacy),Critical,AC input terminals inside the station are overheating. Loose connections or undersized wire. Fire hazard.,Immediate attention. Check terminal torque. Inspect for discoloration/melting. Re-torque or replace terminals.,,
465,PowerModuleFailed,CPE250 (legacy),Critical,"DC power module has failed (duplicate from Batch 4, may appear in different contexts).",Power cycle. Identify faulted module. Replace power module.,,
466,StationThermalDerate,CPE250 (legacy),Major,Station is reducing output power due to overheating. Self-protecting by limiting current.,Check cooling system. Check ambient temp. Ensure airflow is not blocked.,,
467,InvalidCableType,CPE250 (legacy),Critical,Cable type detected doesn't match station configuration. Wrong cable installed.,Verify correct cable is installed for this station model. Replace cable if wrong.,,
468,CoolingFanLock,CPE250 (legacy),Major,Cooling fan rotor is locked — fan motor seized.,Check for obstructions. Replace fan.,,
469,CoolingPumpFailed,CPE250 (legacy),Critical,Coolant pump has failed (general legacy fault).,Replace pump. Check for leaks.,,
470,PowerSupplyVoltageDeviation,CPE250 (legacy),Major,Internal power supply voltage has deviated from expected value.,Power cycle. Check AuxPS. Replace if voltage is unstable.,,
471,UnusedCableRelayFailed,CPE250 (legacy),Major,A relay on an unused cable (second connector type) has failed.,Power cycle. Replace contactor if persists. May not affect primary connector operation.,,
472,CableRelayStuckOpen,CPE250 (legacy),Critical,DC contactor is stuck open — can't close to deliver power.,Power cycle. Replace contactor.,,
473,CoolantCriticallyLow,CPE250 (legacy),Critical,Coolant level is critically low. Pump may dry-run. Risk of overheating.,Top up coolant immediately. Check for leaks. Replace pump if damaged.,,
474,CoolantLeak,CPE250 (legacy),Critical,Coolant leak detected by leak sensor. Safety concern — liquid around electrical components.,"Stop station. Inspect for leak source. Check hoses, fittings, HEX. Replace damaged components.",,
475,CoolingAirFlowBlocked,CPE250 (legacy),Major,Airflow is blocked — station can't cool effectively.,Remove obstructions from vents. Check air filters. Clean or replace.,,
476,SurgeFault,CPE250 (legacy),Critical,Electrical surge detected. Surge protection may have triggered.,Check surge protectors (SPDs). Replace if triggered. Check site power quality.,,
477,CableRelayEmergencyStop,CPE250 (legacy),Critical,Emergency stop triggered on cable relay/contactor. Contactors forced open by emergency stop circuit.,Check emergency stop button. Reset e-stop. Investigate why it was triggered.,,
478,falcon:dispenser-tilt-exceeded,CP6000,Critical,Falcon detected dispenser tilt exceeds safe threshold. Dispenser has been hit hard.,Inspect immediately. Check for structural damage. Take offline if needed.,,
479,falcon:dispenser-tilt-warning,CP6000,Minor,Minor dispenser tilt detected. May have been bumped.,Monitor. Inspect mounting.,,
480,falcon:helmet-removed,CP6000,Major,Falcon detected dispenser helmet (top cover) removed. Open enclosure detected.,Reseat helmet. Check tamper switch.,,
481,falcon:over-temp,"CPE250, CPE280, CP6000",Major,Falcon controller is overheating. Station controller processor is too hot.,Check ventilation. Power cycle. Replace Falcon if persists.,,
482,falcon:cardreader-update-failed,"CPE250, CPE280, CP6000",Major,Card reader firmware update initiated by Falcon has failed.,Retry update. Power cycle. Escalate if persists.,,
483,falcon:cardreader-serial-comms-error,"CPE250, CPE280, CP6000",Major,Falcon lost serial communication with card reader. Card taps won't register.,Check serial cable between Falcon and card reader. Power cycle. Replace Falcon or card reader if persists.,,
484,falcon:over-voltage,"CPE250, CPE280, CP6000",Major,Falcon input voltage is above expected range. Internal voltage rail too high.,Check AuxPS output. Replace Falcon if voltage regulator is failing.,,
485,falcon:under-voltage,"CPE250, CPE280, CP6000",Major,Falcon input voltage is below expected range. May cause instability or reboots.,Check AuxPS output. Check cable from AuxPS to Falcon. Replace Falcon if persists.,,
486,falcon:lastgasp-cap-error,"CPE250, CPE280, CP6000",Minor,Last-gasp capacitor error. The capacitor that provides power during shutdown to save state has failed. Station may lose data on unexpected power loss.,Replace Falcon. Non-critical for charging but data integrity at risk.,,
487,falcon:screen-stuck-at-high-brightness,"CPE250, CPE280, CP6000",Minor,Screen brightness stuck at max. Backlight control not responding.,Reboot. Update firmware. Replace display/Falcon if persists. Non-critical.,,
488,falcon:data-partition-full,"CPE250, CPE280, CP6000",Critical,"Falcon data partition full. Logs, session data, firmware updates will fail.",Clear logs. Reboot. Manual cleanup via shell.,,
489,falcon:tmp-partition-full,"CPE250, CPE280, CP6000",Major,Falcon temp partition full. Temp file operations and updates will fail.,Reboot to clear temp files.,,
490,fdc:door-open-main,"CPE250, CPE280, EXPP",Major,Main cabinet door is open. Tamper/safety switch triggered. Station may stop charging.,Close and secure main door. Check door latch and tamper switch.,,
491,fdc:door-open-pedestal,"CPE250, CPE280, EXPP",Major,Pedestal/dispenser door is open.,Close pedestal door. Check latch.,,
492,fdc:door-open-fuse-safety-shield,"CPE250, CPE280, EXPP",Major,Fuse safety shield/panel is open. HV fuses may be exposed. Safety concern.,Close fuse shield immediately. Verify fuses are intact.,,
493,fdc:door-open-pedestal-hv,"CPE250, CPE280, EXPP",Critical,Pedestal HV (High Voltage) compartment door is open. Live HV components may be exposed. Serious safety hazard.,Close immediately. Do not touch HV components. Verify HV compartment is secure.,,
494,fdc:surge-arrestor-open-lv1,"CPE250, CPE280, EXPP",Major,Low-voltage surge arrestor 1 has opened/tripped. LV surge protection on circuit 1 is depleted.,Replace LV surge arrestor 1. Check for surge damage to downstream components.,,
495,fdc:surge-arrestor-open-lv2,"CPE250, CPE280, EXPP",Major,Low-voltage surge arrestor 2 has tripped.,Replace LV surge arrestor 2.,,
496,fdc:surge-arrestor-open-hv1,"CPE250, CPE280, EXPP",Critical,High-voltage surge arrestor 1 has tripped. HV surge protection is depleted — station is vulnerable to surges.,Replace HV surge arrestor 1 immediately. Check for surge damage.,,
497,fdc:surge-arrestor-open-hv2,"CPE250, CPE280, EXPP",Critical,High-voltage surge arrestor 2 has tripped.,Replace HV surge arrestor 2 immediately.,,
498,fdc:surge-arrestor-open-busa,"CPE250, CPE280, EXPP",Critical,DC Bus A surge arrestor has tripped. Bus A is unprotected from surges.,Replace Bus A surge arrestor.,,
499,fdc:surge-arrestor-open-busb,"CPE250, CPE280, EXPP",Critical,DC Bus B surge arrestor has tripped.,Replace Bus B surge arrestor.,,
500,fdc:surge-arrestor-open-48v-auxps,"CPE250, CPE280, EXPP",Major,48V AuxPS surge arrestor has tripped. AuxPS surge protection depleted.,Replace 48V AuxPS surge arrestor.,,
501,fdc:surge-arrestor-open-3,"CPE250, CPE280, EXPP",Major,Surge arrestor 3 (generic/additional circuit) has tripped.,Replace surge arrestor 3. Check site power quality.,,
502,acb:station-thermal-derate,"CPE250, CPE280, CP6000, CP800",Major,Station reducing output power due to high internal temp — self-protecting by limiting charging speed.,"Check cooling system (fans, coolant, HEX). Check for obstructions.",,
503,acb:over-temp,"CPE250, CPE280, CP6000, CP800",Major,AC Board temp exceeded safe threshold. General overheating.,"Check ventilation, ambient temp, cooling components. Power cycle.",,
504,acb:cpu-over-temp,"CPE250, CPE280, CP6000, CP800",Major,ACB CPU overheating. Possible cooling failure or excessive load.,Check cooling. Power cycle. Replace ACB if persists.,,
505,acb:port-over-temp,"CPE250, CPE280, CP6000, CP800",Major,Port's AC Board section exceeded 95°C.,"Check head unit seating, blindmate connection. Replace power plate if persists.",,
506,acb:port-power-fault,"CPE250, CPE280, CP6000, CP800",Critical,No power detected to a port. RCCB tripped or voltage too low.,"Confirm jumpers for single circuit. Check wiring. For dual circuit, check breaker. Replace ACB if persists.",,
507,acb:not-operational,"CPE250, CPE280, CP6000, CP800",Critical,ACB not operational. May be temporary during FW update.,Wait 5 min if FW update in progress. Reboot. Contact engineering if doesn't recover.,,
508,acb:firmware-failed,"CPE250, CPE280, CP6000, CP800",Critical,ACB firmware initialization failure.,Check ACB menu in chassis-shell. Update SW via NOS. Power cycle. Replace ACB if persists.,,
509,acb:thread-error,"CPE250, CPE280, CP6000, CP800",Critical,Internal thread error in ACB firmware.,Power cycle. Replace ACB if persists.,,
510,acb:stack-overflow,"CPE250, CPE280, CP6000, CP800",Critical,ACB firmware stack overflow — memory corruption.,Power cycle. Replace ACB if persists. Escalate to engineering.,,
511,acb:initialization-error,"CPE250, CPE280, CP6000, CP800",Critical,ACB failed to initialize during startup.,Power cycle. Update firmware or replace ACB if persists.,,
512,acb:adc-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,ADC error. Voltage/current readings may be unreliable.,Power cycle. Replace ACB if persists.,,
513,acb:cpu-error,"CPE250, CPE280, CP6000, CP800",Critical,CPU encountered fatal hardware or firmware issue.,Power cycle. Replace ACB if persists.,,
514,acb:wdma-error,"CPE250, CPE280, CP6000, CP800",Major,Watchdog/DMA error — internal watchdog or memory access failed.,Power cycle. Replace ACB if persists.,,
515,acb:self-test-fail,"CPE250, CPE280, CP6000, CP800",Critical,"ACB self-test failed (CLKERR, FLASHERR, RAMERR, PWRERR, GFCIERR).",Power cycle a few times. Contact engineering. Replace ACB.,,
516,acb:gfci-error,"CPE250, CPE280, CP6000, CP800",Critical,GFCI detection circuit failed its diagnostic check.,Power cycle. Replace ACB if persists.,,
517,acb:power-error,"CPE250, CPE280, CP6000, CP800",Critical,General internal power supply issue on ACB.,Power cycle. Replace ACB if persists.,,
518,acb:flash-error,"CPE250, CPE280, CP6000, CP800",Critical,Flash memory error — firmware storage may be corrupted.,Power cycle. Update firmware. Replace ACB if persists.,,
519,acb:ram-error,"CPE250, CPE280, CP6000, CP800",Critical,RAM error — working memory failed or corrupted.,Power cycle. Replace ACB if persists.,,
520,acb:clock-error,"CPE250, CPE280, CP6000, CP800",Critical,Internal timing circuit failed.,Power cycle. Replace ACB if persists.,,
521,acb:update-failed,"CPE250, CPE280, CP6000, CP800",Major,ACB firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
522,acb:can-comms-error,"CPE250, CPE280, CP6000, CP800",Critical,ACB lost CAN bus communication with Falcon/UCB. Latched fault.,Check CAN cable (Pin 10 & 11). Verify impedance (120Ω). Replace Falcon/UCB. Replace ACB if persists.,,
523,acb:weld-fault,"CPE250, CPE280, CP6000, CP800",Critical,Weld detection circuit not operating OR input voltage below 80V RMS. Does NOT mean relay is welded.,"Check input voltage. If below 200V, schedule site electrical check. Replace ACB if persists.",,
524,acb:power-plate-missing,"CPE250, CPE280, CP6000, CP800",Critical,Power plate ID pins have illegal values.,Check power plate alignment/seating. Verify blindmate. Replace power plate if persists.,,
525,acb:relay-stuck-open,"CPE250, CPE280, CP6000, CP800",Critical,Relay that should be closed is open. Register bit: RSO.,Power cycle. Replace ACB if doesn't clear.,,
526,acb:relay-stuck-closed,"CPE250, CPE280, CP6000, CP800",Critical,Relay that should be open is closed. Register bit: RSC. Latched fault.,Power cycle. Test with another vehicle. Replace ACB if persists.,,
527,acb:circuit-distribution-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,Circuit distribution error.,Contact engineering.,,
528,acb:circuit-distribution-warning,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Minor,Informational alert about power distribution.,Monitor. No action unless accompanied by other faults.,,
529,acb:neutral-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,Neutral wire error detected.,Check neutral wiring. Contact engineering.,,
530,acb:voltage-balance,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,Voltage imbalance across phases.,Check AC input wiring and phase balance.,,
531,acb:power-plate-over-temp,"CPE250, CPE280, CP6000, CP800",Major,Power plate overheating at blindmate connection.,Check head unit seating. Inspect blindmate for debris. Replace power plate if persists.,,
532,acb:ac-over-current,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,AC overcurrent — too much current in AC path.,Check wiring. Replace power plate/ACB if persists.,,
533,acb:dc-leakage,"CPE250, CPE280, CP6000, CP800",Critical,DC leakage current to ground — safety hazard.,Power cycle. Inspect wiring. Replace ACB if persists.,,
534,acb:dc-ground-fault,"CPE250, CPE280, CP6000, CP800",Critical,DC ground fault — direct current path to ground. Can trigger shunt trip (EU).,Power cycle. Inspect wiring. Replace ACB if persists.,,
535,acb:ac-leakage,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,AC leakage current detected.,Check wiring and RCCB.,,
536,acb:ac-input-phase-missing,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,One or more AC input phases missing.,Check AC input wiring. Verify all phases present.,,
537,acb:ground-fault-nonrecoverable,"CPE250, CPE280, CP6000, CP800",Critical,Non-recoverable ground fault. Occurs as relay closes (NA only). Auto-clears when EV disconnects.,"Wait for EV disconnect. If recurring, replace ACB.",,
538,acb:relay-pin-invalid,"CPE250, CPE280, CP6000, CP800",Critical,Relay coil GPIO in unexpected state. Register bit: RLYP.,Power cycle. Replace ACB if doesn't clear.,,
539,acb:ground-monitor-error,"CPE250, CPE280, CP6000, CP800",Major,Ground monitoring circuit itself has failed.,Power cycle. Replace ACB if persists.,,
540,acb:ground-monitor-fault,"CPE250, CPE280, CP6000, CP800",Major,Ground monitoring detected actual ground issue.,Check station grounding. Power cycle. Replace ACB if persists.,,
541,acb:ground-fault-recoverable,"CPE250, CPE280, CP6000, CP800",Major,Recoverable ground fault — may clear after EV disconnects.,"Wait for session end. If recurring, investigate wiring.",,
542,acb:ground-fault,"CPE250, CPE280, CP6000, CP800",Critical,General ground fault — current flowing to ground unexpectedly.,Power cycle. Check wiring and grounding. Replace ACB if persists.,,
543,acb:shunt-trip,"CPE250, CPE280, CP6000 — EU only (NA has no RCCBs)",Critical,Shunt trip activated. If right port faults — entire station turns off.,Check RCCB. Rearm if tripped. Investigate root cause.,,
544,acb:ground-error,"CPE250, CPE280, CP6000, CP800",Critical,Differential current sensing circuit issue. Register bit: GFERR.,Power cycle a few times. RMA head unit if doesn't resolve. Falcon can be kept.,,
545,acb:ground-fault-error,"CPE250, CPE280, CP6000, CP800",Critical,Same as ground-error. Register bit: GFERR.,Power cycle a few times. RMA head unit if doesn't resolve. Falcon can be kept.,,
546,acc:over-current,"CPH50, CPF50, CT4000, CT4K",Critical,Station drawing more current than allowed.,Check breaker size and wiring. Power cycle. Replace ACC if persists.,,
547,acc:ac-over-current,"CPH50, CPF50, CT4000, CT4K",Critical,AC-specific overcurrent through charging circuit.,Check wiring and breaker. Replace ACC if persists.,,
548,acc:soft-ground-fault,"CPH50, CPF50, CT4000, CT4K",Major,Soft GFCI trip — minor ground fault.,"Usually self-clearing. If recurring, investigate wiring.",,
549,acc:hard-ground-fault,"CPH50, CPF50, CT4000, CT4K",Critical,Hard GFCI trip — significant ground fault.,Power cycle. Inspect wiring. Replace ACC if persists.,,
550,acc:ground-monitor-fault,"CPH50, CPF50, CT4000, CT4K",Critical,Ground monitoring detected fault.,Check station grounding. Power cycle. Replace ACC if persists.,,
551,acc:gfci-error,"CPH50, CPF50, CT4000, CT4K",Critical,GFCI self-test error.,Power cycle. Replace ACC if persists.,,
552,acc:relay-stuck-open,"CPH50, CPF50, CT4000, CT4K",Critical,Relay stuck open. Can't energize charging cable.,Power cycle. Replace ACC if persists.,,
